school.name,2015.student.size,location.lat,location.lon,school.state
Grand Valley State University,21889,42.965208,-85.887519,MI
Central Michigan University,19954,43.591137,-84.775275,MI
Northern Essex Community College,6010,42.796148,-71.047475,MA
Worcester State University,5049,42.267534,-71.844019,MA
Oakland Community College,16462,42.620538,-83.430388,MI
Macomb Community College,15955,42.507039,-82.97373,MI
Oakland University,16392,42.67449,-83.220523,MI
Moraine Valley Community College,11220,41.694613,-87.836915,IL
Triton College,8561,41.916082,-87.841056,IL
Frederick Community College,5042,39.452241,-77.417849,MD
Boston University,16456,42.349581,-71.09984,MA
Boston College,9491,42.337688,-71.171488,MA
Westfield State University,5459,42.131589,-72.795673,MA
Suffolk University,5352,42.359134,-71.06192,MA
Schoolcraft College,10475,42.419279,-83.430958,MI
University of Southern Mississippi,11737,31.327499,-89.33791,MS
Normandale Community College,7541,44.829706,-93.331677,MN
Century College,8256,45.041816,-92.982109,MN
Northwest Mississippi Community College,7074,34.622721,-89.971428,MS
Missouri State University-Springfield,16617,37.197983,-93.276821,MO
Metropolitan Community College-Kansas City,15198,39.06855,-94.591181,MO
Missouri Southern State University,5202,37.095722,-94.460893,MO
Ozarks Technical Community College,11655,37.216479,-93.279985,MO
Wayne County Community College District,11937,42.326515,-83.055527,MI
University of Minnesota-Duluth,8929,46.818896,-92.085177,MN
University of New Hampshire-Main Campus,12789,43.134235,-70.934512,NH
Atlantic Cape Community College,5950,39.461387,-74.682286,NJ
Truman State University,5290,40.188238,-92.580531,MO
Bellevue University,6002,41.150225,-95.91764,NE
East Carolina University,21697,35.606347,-77.366199,NC
University at Buffalo,19692,43.001433,-78.790103,NY
North Carolina A & T State University,9036,36.076737,-79.770152,NC
University of North Carolina at Greensboro,15158,36.067503,-79.809844,NC
North Carolina State University at Raleigh,22458,35.785111,-78.674517,NC
University of North Carolina Wilmington,12971,34.225223,-77.875527,NC
Pitt Community College,7453,35.550591,-77.407203,NC
Pace University-New York,8371,40.711014,-74.004719,NY
Monroe College,5993,40.86407,-73.900501,NY
The New School,6752,40.735275,-73.994636,NY
Rensselaer Polytechnic Institute,5781,42.728983,-73.678768,NY
Cleveland State University,11658,41.502918,-81.673052,OH
Lorain County Community College,8827,41.412448,-82.07242,OH
SUNY Buffalo State,9018,42.934199,-78.88067,NY
St John's University-New York,11244,40.721979,-73.795301,NY
Orange County Community College,5354,41.439476,-74.426885,NY
Farmingdale State College,7977,40.75408,-73.426371,NY
SUNY College at Brockport,6997,43.209862,-77.949824,NY
University of Rochester,6125,43.126437,-77.631042,NY
Tulsa Community College,14581,36.106788,-95.90825,OK
Northeastern State University,6788,35.920499,-94.968528,OK
New Mexico State University-Dona Ana,5804,32.354186,-106.740521,NM
Rutgers University-Newark,7208,40.741303,-74.175294,NJ
Central New Mexico Community College,21410,35.07599,-106.624957,NM
Union County College,10745,40.667835,-74.319784,NJ
William Paterson University of New Jersey,9279,40.946256,-74.199465,NJ
Kean University,11755,40.679429,-74.234668,NJ
Middlesex County College,10675,40.506117,-74.365723,NJ
Camden County College,10284,39.785083,-75.040471,NJ
Bergen Community College,13575,40.953733,-74.094086,NJ
Rowan College at Gloucester County,6128,39.782484,-75.12173,NJ
Ocean County College,7535,40.007809,-74.166842,NJ
Rowan College at Burlington County,8014,39.964352,-74.645467,NJ
Mercer County Community College,7012,40.254398,-74.650719,NJ
Passaic County Community College,7906,40.918449,-74.168778,NJ
New Jersey Institute of Technology,7049,40.741997,-74.177113,NJ
SUNY Broome Community College,5501,42.13532,-75.909212,NY
CUNY Bernard M Baruch College,14896,40.740238,-73.983417,NY
CUNY Queens College,15148,40.737771,-73.815387,NY
Dutchess Community College,6331,41.726476,-73.904954,NY
CUNY Hostos Community College,6722,40.817601,-73.927363,NY
Hudson Valley Community College,8243,42.696462,-73.682526,NY
Columbia University in the City of New York,8102,40.808286,-73.961885,NY
The College of New Jersey,6590,40.268742,-74.777412,NJ
Essex County College,9828,40.738444,-74.178234,NJ
Nassau Community College,19444,40.730088,-73.589397,NY
New York University,25314,40.729452,-73.997264,NY
Oakton Community College,9269,42.061893,-87.880644,IL
Delgado Community College,15534,29.985149,-90.103962,LA
Nicholls State University,5254,29.792689,-90.802906,LA
Oklahoma State University-Oklahoma City,5537,35.475272,-97.583291,OK
Linn-Benton Community College,5635,44.586996,-123.115042,OR
Clackamas Community College,5902,45.323185,-122.574272,OR
Oklahoma City Community College,12171,35.387699,-97.570109,OK
Bloomsburg University of Pennsylvania,8892,41.007989,-76.446383,PA
Lane Community College,7774,44.010179,-123.03345,OR
Bucks County Community College,8076,40.239102,-74.965841,PA
Oregon State University,23656,44.56274,-123.274721,OR
Millersville University of Pennsylvania,6952,39.99813,-76.355091,PA
University of Pittsburgh-Pittsburgh Campus,18655,40.444502,-79.954692,PA
